time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
8580	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8640.0	0.0	0	0.0	0	0	0.0
8640	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8700.0	0.0	0	0.0	0	0	0.0
8700	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8760.0	0.0	0	0.0	0	0	0.0
8760	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8820.0	0.0	0	0.0	0	0	0.0
8820	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8880.0	0.0	0	0.0	0	0	0.0
8880	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8940.0	0.0	0	0.0	0	0	0.0
8940	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9000.0	0.0	0	0.0	0	0	0.0
9000	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9060.0	0.0	0	0.0	0	0	0.0
9060	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9120.0	0.0	0	0.0	0	0	0.0
9120	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9180.0	0.0	0	0.0	0	0	0.0
9180	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9240.0	0.0	0	0.0	0	0	0.0
9240	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9300.0	0.0	0	0.0	0	0	0.0
9300	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9360.0	0.0	0	0.0	0	0	0.0
9360	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9420.0	0.0	0	0.0	0	0	0.0
9420	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9480.0	0.0	0	0.0	0	0	0.0
9480	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9540.0	0.0	0	0.0	0	0	0.0
9540	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9600.0	0.0	0	0.0	0	0	0.0
9600	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9660.0	0.0	0	0.0	0	0	0.0
9660	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9720.0	0.0	0	0.0	0	0	0.0
9720	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9780.0	0.0	0	0.0	0	0	0.0
9780	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9840.0	0.0	0	0.0	0	0	0.0
9840	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9900.0	0.0	0	0.0	0	0	0.0
9900	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	9960.0	0.0	0	0.0	0	0	0.0
9960	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10020.0	0.0	0	0.0	0	0	0.0
10020	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10080.0	0.0	0	0.0	0	0	0.0
10080	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10140.0	0.0	0	0.0	0	0	0.0
10140	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10200.0	0.0	0	0.0	0	0	0.0
10200	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10260.0	0.0	0	0.0	0	0	0.0
10260	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10320.0	0.0	0	0.0	0	0	0.0
10320	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10380.0	0.0	0	0.0	0	0	0.0
10380	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10440.0	0.0	0	0.0	0	0	0.0
10440	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10500.0	0.0	0	0.0	0	0	0.0
10500	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10560.0	0.0	0	0.0	0	0	0.0
10560	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10620.0	0.0	0	0.0	0	0	0.0
10620	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10680.0	0.0	0	0.0	0	0	0.0
10680	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10740.0	0.0	0	0.0	0	0	0.0
